model_name,group_id,session_id,run_key,bearing_id,calibration_mode,calibration_file_count,calibration_start_hour,calibration_end_hour,evaluation_file_count,calibrated_threshold,first_threshold_crossing_index,first_threshold_crossing_hour,first_sustained_warning_index,first_sustained_warning_hour,first_alarm_index,first_alarm_hour,first_alarm_reason,post_reference_crossing_count,post_reference_flag_ratio_mean,max_anomaly_score_raw,max_anomaly_score_reference_z,final_rolling_anomaly_score_mean,final_rolling_anomaly_score_z_mean,final_rolling_anomaly_flag_ratio,documented_failure_mode,documented_failed_bearing,documented_failure_metadata_confidence,status
one_class_svm,nasa_ims_1st_test,nasa_ims_1st_test_bearing_3,1st_test,3,first_24_hours,156,0.0,22.130277777777778,2000,2.2447554041262654,156.0,170.5561111111111,159.0,171.0561111111111,159.0,171.0561111111111,sustained_warning,2000,1.0,7.282904479213913,8.922009314815298,7.282904479213913,8.922009314815298,1.0,inner_race_defect,True,documented,alarm_detected
one_class_svm,nasa_ims_1st_test,nasa_ims_1st_test_bearing_4,1st_test,4,first_24_hours,156,0.0,22.130277777777778,2000,2.2447554041262654,156.0,170.5561111111111,158.0,170.88944444444445,158.0,170.88944444444445,sustained_warning,2000,1.0,7.282904479213913,8.922009314815298,7.282904479213913,8.922009314815298,1.0,roller_element_defect,True,documented,alarm_detected
one_class_svm,nasa_ims_2nd_test,nasa_ims_2nd_test_bearing_1,2nd_test,1,first_24_hours,144,0.0,23.83333333333333,840,2.2447554041262654,641.0,106.83333333333331,650.0,108.33333333333331,650.0,108.33333333333331,sustained_warning,304,0.3619047619047619,7.282904479213913,8.922009314815298,7.282904479213913,8.922009314815298,1.0,outer_race_failure,True,documented,alarm_detected
one_class_svm,nasa_ims_2nd_test,nasa_ims_2nd_test_bearing_2,2nd_test,2,first_24_hours,144,0.0,23.83333333333333,840,2.2447554041262654,874.0,145.66666666666666,882.0,147.0,882.0,147.0,sustained_warning,105,0.125,7.282904479213913,8.922009314815298,7.28290143713517,8.922006118112762,1.0,,False,documented,alarm_detected
one_class_svm,nasa_ims_2nd_test,nasa_ims_2nd_test_bearing_3,2nd_test,3,first_24_hours,144,0.0,23.83333333333333,840,2.2447554041262654,537.0,89.5,889.0,148.16666666666666,889.0,148.16666666666666,sustained_warning,101,0.12023809523809524,7.282904479213913,8.922009314815298,7.258332765231468,8.8961886615562,1.0,,False,documented,alarm_detected
one_class_svm,nasa_ims_2nd_test,nasa_ims_2nd_test_bearing_4,2nd_test,4,first_24_hours,144,0.0,23.83333333333333,840,2.2447554041262654,941.0,156.83333333333334,944.0,157.33333333333334,944.0,157.33333333333334,sustained_warning,43,0.05119047619047619,7.282904479213913,8.922009314815298,6.67829882905529,8.286672566943755,1.0,,False,documented,alarm_detected
one_class_svm,nasa_ims_3rd_test__4th_test__txt,nasa_ims_3rd_test__4th_test__txt_bearing_1,3rd_test__4th_test__txt,1,first_24_hours,145,0.0,23.916666666666668,6179,2.2447554041262654,6262.0,1063.0858333333333,6270.0,1064.4191666666668,6270.0,1064.4191666666668,sustained_warning,58,0.009386632141123159,7.282904479213913,8.922009314815298,7.016753233403537,8.642330044681517,1.0,,,uncertain_local_layout,alarm_detected
one_class_svm,nasa_ims_3rd_test__4th_test__txt,nasa_ims_3rd_test__4th_test__txt_bearing_2,3rd_test__4th_test__txt,2,first_24_hours,145,0.0,23.916666666666668,6179,2.2447554041262654,3027.0,515.9030555555556,6197.0,1052.2525,6197.0,1052.2525,sustained_warning,134,0.02168635701569833,7.282904479213913,8.922009314815298,7.282904478785645,8.92200931436526,1.0,,,uncertain_local_layout,alarm_detected
one_class_svm,nasa_ims_3rd_test__4th_test__txt,nasa_ims_3rd_test__4th_test__txt_bearing_3,3rd_test__4th_test__txt,3,first_24_hours,145,0.0,23.916666666666668,6179,2.2447554041262654,6162.0,1046.4191666666668,6165.0,1046.9191666666668,6165.0,1046.9191666666668,sustained_warning,162,0.026217834601068135,7.282904479213913,8.922009314815298,7.282904479213913,8.922009314815298,1.0,,,uncertain_local_layout,alarm_detected
one_class_svm,nasa_ims_3rd_test__4th_test__txt,nasa_ims_3rd_test__4th_test__txt_bearing_4,3rd_test__4th_test__txt,4,first_24_hours,145,0.0,23.916666666666668,6179,2.2447554041262654,6167.0,1047.2525,6170.0,1047.7525,6170.0,1047.7525,sustained_warning,106,0.01715487943032853,7.282904479213913,8.922009314815298,7.282904479213913,8.922009314815298,1.0,,,uncertain_local_layout,alarm_detected
