model_name,threshold,precision,recall,f1,accuracy,balanced_accuracy,anomalous_window_ratio,is_calibrated_threshold
isolation_forest,0.5824401659857749,0.888468809073724,1.0,0.9409409409409409,0.888468809073724,0.5,1.0,False
isolation_forest,0.5908127905471157,0.8872970391595033,0.9882978723404255,0.9350780070457977,0.8780718336483931,0.49414893617021277,0.9896030245746692,False
isolation_forest,0.5943798170585295,0.8861003861003861,0.9765957446808511,0.9291497975708503,0.8676748582230623,0.48829787234042554,0.9792060491493384,False
isolation_forest,0.5953616634562438,0.884990253411306,0.9659574468085106,0.9237029501525941,0.8582230623818525,0.4829787234042553,0.9697542533081286,False
isolation_forest,0.597097351896794,0.8837438423645321,0.9542553191489361,0.9176470588235294,0.8478260869565217,0.47712765957446807,0.9593572778827977,False
isolation_forest,0.5980132806737576,0.882587064676617,0.9436170212765957,0.9120822622107969,0.8383742911153119,0.4718085106382979,0.9499054820415879,False
isolation_forest,0.5986573929315989,0.8812877263581489,0.9319148936170213,0.905894519131334,0.8279773156899811,0.46595744680851064,0.9395085066162571,False
isolation_forest,0.5998100300688873,0.8800813008130082,0.9212765957446809,0.9002079002079002,0.8185255198487713,0.46063829787234045,0.9300567107750473,False
isolation_forest,0.6004462820525273,0.8787255909558068,0.9095744680851063,0.893883951907998,0.8081285444234405,0.45478723404255317,0.9196597353497165,False
isolation_forest,0.6012559286073673,0.8783783783783784,0.898936170212766,0.8885383806519453,0.7996219281663516,0.4537053732419762,0.9092627599243857,False
isolation_forest,0.6016738986371888,0.8771008403361344,0.8882978723404256,0.8826638477801269,0.7901701323251418,0.448386224305806,0.8998109640831758,False
isolation_forest,0.6022223706626125,0.8756641870350691,0.8765957446808511,0.8761297182349814,0.779773156899811,0.44253516047601876,0.889413988657845,False
isolation_forest,0.6025676192272696,0.874328678839957,0.8659574468085106,0.8701229289150187,0.7703213610586012,0.4372160115398485,0.8799621928166351,False
isolation_forest,0.6028420204933224,0.875,0.8563829787234043,0.8655913978494624,0.7637051039697542,0.44090335376848183,0.8695652173913043,False
isolation_forest,0.6033917236514564,0.8736263736263736,0.8457446808510638,0.8594594594594595,0.7542533081285444,0.4355842048323116,0.8601134215500945,False
isolation_forest,0.6040004618555574,0.8720800889877642,0.8340425531914893,0.8526373028820011,0.7438563327032136,0.42973314100252435,0.8497164461247637,False
isolation_forest,0.6044237833405603,0.8716216216216216,0.823404255319149,0.8468271334792122,0.7353497164461248,0.42865128020194737,0.8393194706994329,False
isolation_forest,0.6050836776801343,0.8701594533029613,0.8127659574468085,0.8404840484048405,0.725897920604915,0.4233321312657771,0.8298676748582231,False
isolation_forest,0.6055587940001849,0.8731257208765859,0.8053191489361702,0.8378527946873271,0.723062381852552,0.4365578795528309,0.8194706994328923,False
isolation_forest,0.6059667056188243,0.8728121353558926,0.7957446808510639,0.8324986087924319,0.7155009451795841,0.4360079336458709,0.8100189035916824,False
isolation_forest,0.6065434275982827,0.8723404255319149,0.7851063829787234,0.826427771556551,0.7069943289224953,0.4349260728452939,0.7996219281663516,False
isolation_forest,0.6068217345667601,0.8708133971291866,0.774468085106383,0.8198198198198198,0.6975425330812854,0.4296069239091237,0.7901701323251418,False
isolation_forest,0.6071778977258726,0.8690909090909091,0.7627659574468085,0.8124645892351274,0.6871455576559546,0.42375586007933647,0.779773156899811,False
isolation_forest,0.607792290194218,0.8685503685503686,0.752127659574468,0.806157354618016,0.6786389413988658,0.4226739992787594,0.7693761814744802,False
isolation_forest,0.6082585590237655,0.8681592039800995,0.7425531914893617,0.8004587155963303,0.6710775047258979,0.4221240533717995,0.7599243856332704,False
isolation_forest,0.6086802504350084,0.8688524590163934,0.7329787234042553,0.7951529140219273,0.6644612476370511,0.42581139560043274,0.7495274102079396,False
isolation_forest,0.6091565101864655,0.8697318007662835,0.7244680851063829,0.7904817179338364,0.6587901701323251,0.430030652722683,0.7400756143667296,False
isolation_forest,0.6096470588455928,0.8678756476683938,0.7127659574468085,0.7827102803738317,0.6483931947069943,0.42417958889289575,0.7296786389413988,False
