model_name,session_id,calibration_mode,calibration_file_count,calibration_start_index,calibration_end_index,calibration_start_hour,calibration_end_hour,evaluation_file_count,calibrated_threshold,first_threshold_crossing_index,first_threshold_crossing_hour,first_sustained_warning_index,first_sustained_warning_hour,first_alarm_index,first_alarm_hour,first_alarm_reason,post_reference_crossing_count,post_reference_flag_ratio_mean,max_anomaly_score_raw,max_anomaly_score_reference_z,final_rolling_anomaly_score_mean,final_rolling_anomaly_score_z_mean,final_rolling_anomaly_flag_ratio,status
isolation_forest,kaist_rtf_vibration_bearing_runtofailure,first_24_hours,24,0,23,0.0,23.0,105,0.7114771439884089,,,,,,,no_alarm,0,0.0,0.6814618562218552,3.4203286150142485,0.6294129791558476,2.5899449423499568,0.0,no_alarm_detected
one_class_svm,kaist_rtf_vibration_bearing_runtofailure,first_24_hours,24,0,23,0.0,23.0,105,0.022606025537841183,24.0,24.0,26.0,26.0,26.0,26.0,sustained_warning,105,1.0,0.2082201705790631,10.151359174060637,0.2082201705790631,10.151359174060637,1.0,alarm_detected
